EXCHANGE%3DINDEXEURO
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=120
286,3745.96,3746.42,3745.96,3746.42,0
287,3745.52,3745.98,3745.52,3745.98,0
288,3746.98,3746.98,3745.65,3745.65,0
289,3747.79,3748.05,3746.87,3746.87,0
290,3746.53,3747.9,3746.53,3747.9,0
291,3744.18,3746.41,3744.18,3746.41,0
292,3742.06,3742.12,3741.5,3742.12,0
293,3741.4,3742.05,3741.4,3741.96,0
294,3741.64,3741.64,3741.31,3741.31,0
295,3741.85,3741.85,3741.52,3741.61,0
296,3744.64,3744.69,3743.88,3743.88,0
297,3744.81,3745.42,3744.72,3744.72,0
298,3744.83,3744.83,3744.68,3744.69,0
299,3742.91,3744.71,3742.91,3744.71,0
300,3743.85,3744.84,3743.19,3743.19,0
301,3743.38,3743.72,3743.38,3743.72,0
302,3740.73,3743.5,3740.73,3743.5,0
303,3739.94,3740.78,3739.94,3740.78,0
304,3741.07,3741.07,3740.88,3740.94,0
305,3742.19,3742.19,3740.5,3740.5,0
306,3741.05,3741.86,3741.04,3741.86,0
307,3740.69,3741.02,3740.69,3741.02,0
308,3739.2,3740.34,3738.77,3740.34,0
309,3739.45,3739.45,3738.96,3738.96,0
310,3738.52,3739.32,3738.52,3739.26,0
311,3735.58,3736.18,3735.35,3736.18,0
312,3736.22,3736.23,3735.74,3735.96,0
313,3735.68,3736.3,3735.67,3736.3,0
314,3735.94,3735.94,3735.78,3735.83,0
315,3736.04,3736.04,3735.82,3735.85,0
316,3734.65,3735.94,3734.65,3735.94,0
317,3733.86,3734.96,3733.86,3734.96,0
318,3735.73,3735.73,3733.82,3733.82,0
319,3735.43,3735.89,3735.43,3735.89,0
320,3733.85,3735.65,3733.85,3735.43,0
321,3734.8,3734.8,3734.55,3734.77,0
322,3734.9,3734.98,3734.72,3734.96,0
323,3735.63,3735.68,3735.15,3735.15,0
324,3735.31,3735.79,3735.31,3735.65,0
325,3734.95,3735,3734.89,3734.89,0
326,3732.97,3736.8,3732.97,3735.88,0
327,3733.8,3734.01,3732.49,3732.49,0
328,3733.69,3733.69,3733.35,3733.62,0
329,3733.44,3733.85,3733.44,3733.85,0
330,3732.7,3732.7,3731.03,3732.69,0
331,3731.83,3731.83,3731.49,3731.49,0
332,3733.29,3733.29,3732.15,3732.15,0
333,3733.7,3733.96,3733.41,3733.41,0
334,3733.97,3733.97,3733.4,3733.4,0
335,3734.08,3734.48,3733.94,3733.94,0
336,3736.04,3736.04,3734.57,3734.57,0
337,3736.47,3736.52,3735.86,3735.91,0
338,3735.47,3736.33,3735.47,3736.33,0
339,3736.01,3736.01,3735.63,3735.63,0
340,3737.05,3737.05,3736,3736,0
341,3736.87,3737.56,3736.85,3737.56,0
342,3736.45,3736.83,3736.3,3736.3,0
343,3737,3737,3736.35,3736.35,0
344,3739.64,3739.64,3737.25,3737.25,0
345,3738.65,3739.44,3737.93,3739.44,0
346,3738.71,3738.71,3737.37,3737.86,0
347,3738.41,3738.52,3738.07,3738.44,0
348,3738.47,3738.47,3738.23,3738.23,0
349,3736.19,3737.34,3736.01,3737.34,0
350,3737.51,3737.78,3737.51,3737.68,0
351,3736.95,3737.58,3736.44,3737.58,0
352,3735.99,3736.95,3735.99,3736.95,0
353,3735.29,3737.37,3735.29,3736.3,0
354,3736.33,3736.33,3735.6,3735.6,0
355,3737.62,3737.62,3737.06,3737.06,0
356,3737.2,3737.97,3737.2,3737.21,0
357,3736.55,3737.77,3736.55,3737.77,0
358,3737.12,3737.12,3736.79,3736.87,0
359,3734.37,3737.03,3734.37,3737.03,0
360,3735.36,3735.36,3734.3,3734.38,0
361,3736.8,3736.8,3734.82,3734.82,0
362,3736.55,3737.08,3736.55,3737.08,0
363,3736.16,3736.28,3736.14,3736.28,0
364,3736.9,3736.95,3736.15,3736.28,0
365,3737.04,3737.23,3737.03,3737.03,0
366,3735.97,3736.29,3735.97,3736.29,0
367,3735.7,3736.55,3735.7,3736.14,0
368,3735.29,3735.5,3735.27,3735.41,0
369,3735.14,3735.27,3735.02,3735.27,0
370,3736.28,3737.47,3736.28,3736.74,0
371,3736.21,3736.48,3736.21,3736.35,0
372,3736.46,3736.51,3736.3,3736.3,0
373,3735.97,3736.33,3735.97,3736.33,0
374,3737.21,3737.32,3736.59,3736.59,0
375,3737.58,3737.58,3737.23,3737.49,0
376,3738.81,3738.81,3738.45,3738.45,0
377,3739.19,3739.19,3738.89,3738.93,0
378,3740.55,3740.55,3739,3739.05,0
379,3741.14,3741.14,3740.53,3740.53,0
380,3742.21,3742.21,3741.58,3741.58,0
381,3739.68,3742.31,3739.68,3742.31,0
382,3739.89,3739.9,3739.6,3739.6,0
383,3739.27,3739.69,3739.27,3739.69,0
384,3739.83,3739.87,3739.72,3739.84,0
385,3740.98,3740.98,3739.98,3739.98,0
386,3739.4,3740.07,3739.39,3740.07,0
387,3739.47,3739.53,3739.33,3739.49,0
388,3739.47,3739.47,3739.26,3739.4,0
389,3740.36,3740.36,3739.31,3739.41,0
390,3741.62,3741.62,3739.91,3740.8,0
391,3746.31,3746.31,3743.11,3743.11,0
392,3745.72,3746.49,3745.14,3746.49,0
393,3745.65,3746.41,3745.57,3745.57,0
394,3745.22,3745.61,3745.22,3745.61,0
395,3748.52,3749.56,3746.09,3746.09,0
396,3750.04,3750.04,3748.61,3748.91,0
397,3748.49,3749.76,3748.49,3749.68,0
398,3748.5,3748.5,3748.15,3748.15,0
399,3747.09,3747.97,3747.05,3747.05,0
400,3746.08,3748.06,3745.89,3748.06,0
401,3744,3745.7,3744,3745.7,0
402,3745.64,3745.64,3742.7,3742.7,0
403,3747.37,3747.49,3746.61,3746.61,0
404,3746.52,3747.19,3746.52,3747.19,0
405,3746.25,3747,3746.25,3746.56,0
406,3746.94,3746.94,3745.97,3746.57,0
407,3749.83,3750.34,3747.03,3747.03,0
408,3750.09,3750.09,3748.93,3749.03,0
409,3750.31,3751.85,3750.31,3750.76,0
410,3752.99,3752.99,3751.83,3751.83,0
411,3750.85,3752.11,3750.85,3752.11,0
412,3750.56,3752.12,3750.56,3752.12,0
413,3749.19,3750.75,3749.19,3750.75,0
414,3748.63,3748.88,3748.55,3748.88,0
415,3749.65,3749.91,3748.91,3748.91,0
416,3745.61,3749.65,3745.61,3749.65,0
417,3746.55,3746.64,3746.23,3746.64,0
418,3746.37,3746.56,3746.17,3746.56,0
419,3745.26,3746.45,3745.23,3746.38,0
420,3749.78,3749.78,3747.17,3747.17,0
421,3746.33,3750.04,3746.33,3750.04,0
422,3744.11,3747.07,3743.19,3747.07,0
423,3744.45,3744.45,3744.22,3744.22,0
424,3744.67,3745.23,3744.52,3744.52,0
425,3745.54,3745.59,3745.14,3745.5,0
426,3745.47,3745.74,3745.1,3745.74,0
427,3745.91,3745.91,3745.29,3745.29,0
428,3745.56,3745.75,3745.21,3745.66,0
429,3744.13,3745.13,3744.13,3745.13,0
430,3744.55,3744.55,3743.81,3744.29,0
431,3744.06,3744.71,3743.06,3744.71,0
432,3744.51,3744.51,3743.72,3743.83,0
433,3746.17,3746.17,3744.22,3744.22,0
434,3747.54,3747.54,3746.8,3747.37,0
435,3746.48,3746.93,3746.48,3746.91,0
436,3744.22,3746.07,3744.22,3746.07,0
437,3744.15,3744.61,3744.15,3744.51,0
438,3743.1,3743.85,3743.07,3743.85,0
439,3743.51,3744.73,3743.04,3743.55,0
440,3745.7,3747.03,3744.47,3744.47,0
441,3746.43,3747.16,3746.03,3747.09,0
442,3746.98,3747.7,3746.54,3746.54,0
443,3746.95,3748.77,3746.85,3746.85,0
444,3744.8,3745.81,3744.51,3745.81,0
445,3743.67,3744.51,3743.33,3744.51,0
446,3743.51,3743.79,3743.51,3743.79,0
447,3741.25,3744.09,3741.25,3744.09,0
448,3742.73,3742.73,3741.47,3741.47,0
449,3742.58,3742.58,3742.04,3742.04,0
450,3741.27,3742.43,3741.27,3742.43,0
451,3738.85,3739.91,3738.85,3739.19,0
452,3739.64,3739.64,3737.84,3738.35,0
453,3740.42,3740.42,3739.01,3739.37,0
454,3742.51,3742.51,3740.73,3740.73,0
455,3745.71,3745.71,3743.23,3743.23,0
456,3745.35,3745.67,3745.14,3745.67,0
457,3745.01,3745.13,3745.01,3745.13,0
458,3744.73,3744.99,3744.39,3744.99,0
459,3744.15,3744.71,3744.15,3744.62,0
460,3745.55,3745.55,3744.68,3744.85,0
461,3745.88,3746.13,3745.16,3745.16,0
462,3746.31,3746.48,3745.44,3745.44,0
463,3745.27,3746.03,3745.27,3746.03,0
464,3744.62,3745.29,3744.62,3745.15,0
465,3745.65,3745.65,3744.45,3745.6,0
466,3745.24,3747.47,3745.24,3745.61,0
467,3745.7,3745.7,3744.06,3744.89,0
468,3744.88,3745.8,3744.88,3745.06,0
469,3744.19,3744.21,3743.55,3744.21,0
470,3744.87,3745.26,3744.87,3745.22,0
471,3744.67,3744.82,3743.81,3743.81,0
472,3745.23,3745.23,3743.92,3743.92,0
473,3745.68,3745.94,3745.63,3745.94,0
474,3746.87,3746.87,3746.49,3746.49,0
475,3747.2,3747.84,3747.01,3747.13,0
476,3746.4,3746.93,3746.4,3746.77,0
477,3746.61,3746.65,3746.41,3746.41,0
478,3746.3,3746.42,3746.3,3746.42,0
479,3746,3746.85,3746,3746.17,0
480,3744.29,3746.08,3744.29,3746.08,0
481,3746.3,3746.3,3744.26,3744.26,0
482,3745.35,3746.06,3744.47,3746.06,0
483,3744.19,3744.87,3744.19,3744.87,0
484,3742.73,3744.17,3742.73,3744.16,0
485,3741.7,3742.39,3741.7,3741.98,0
486,3743.35,3743.35,3741.7,3741.72,0
487,3743.62,3743.62,3742.75,3742.75,0
488,3743.38,3743.38,3743.27,3743.27,0
489,3743.24,3743.66,3743.14,3743.61,0
490,3743.92,3744.18,3743.48,3743.48,0
491,3743.97,3745.29,3743.86,3743.86,0
492,3743.57,3743.62,3743.43,3743.43,0
493,3744.3,3744.3,3743.53,3743.53,0
494,3744.1,3744.11,3743.99,3743.99,0
495,3744.58,3744.66,3744.11,3744.11,0
496,3740.71,3743.48,3740.71,3743.48,0
497,3741.92,3741.92,3740.43,3740.43,0
498,3743.14,3743.79,3742.24,3742.24,0
499,3741.88,3742.69,3741.88,3742.69,0
500,3738.96,3741.64,3738.96,3741.64,0
501,3738.11,3739.19,3738.11,3739.01,0
502,3738.84,3739.04,3738.68,3739.04,0
503,3739.7,3740.53,3739.7,3740.19,0
504,3737.54,3739.22,3737.54,3739.22,0
505,3739.01,3739.01,3737.59,3737.59,0
506,3738.04,3738.1,3737.8,3738.1,0
507,3738.62,3738.62,3737.76,3738.44,0
508,3740.8,3741.17,3738.77,3738.77,0
509,3742.23,3742.23,3739.45,3739.53,0
510,3742.23,3742.23,3742.23,3742.23,0
511,3742.23,3742.23,3742.23,3742.23,0
512,3742.23,3742.23,3742.23,3742.23,0
513,3742.23,3742.23,3742.23,3742.23,0
514,3742.23,3742.23,3742.23,3742.23,0
515,3742.57,3742.57,3742.57,3742.57,0
516,3742.57,3742.57,3742.57,3742.57,0
517,3742.57,3742.57,3742.57,3742.57,0
518,3742.57,3742.57,3742.57,3742.57,0
519,3742.57,3742.57,3742.57,3742.57,0
520,3742.57,3742.57,3742.57,3742.57,0
521,3742.57,3742.57,3742.57,3742.57,0
522,3742.57,3742.57,3742.57,3742.57,0
523,3742.57,3742.57,3742.57,3742.57,0
524,3742.57,3742.57,3742.57,3742.57,0
